F1,F3,F4,F5,F8,F9,F10,F11,F12,F13,EXPOSURE,Predicted_number_of_claims
F,11,0,2,M2,S1,M1,L1,D,2,2,0
P,1,2,3,M1,S5,M1,L2,D,0,1,0
F,1,10,2,H1,S1,M1,L2,D,0,1,0
F,6,8,2,M1,S3,M2,L1,B,0,1.21,0
F,2,6,2,H1,S3,M3,L1,D,0,1,0
F,3,4,3,M2,S1,M1,L3,D,0,2.26,0
F,1,0,2,M1,S1,M2,L2,B,5,1,0
F,2,2,2,M1,S2,M1,L4,B,0,4,0
F,10,20,1,C,S2,M2,L1,B,0,3,0
F,4,10,2,H1,S1,M2,L2,B,0,2,0
F,8,10,2,H2,S1,M3,L2,B,1,2,0
F,8,0,2,M2,S2,M2,L1,B,4,1,0
F,10,4,2,M1,S1,M1,L3,D,2,0.82,0
F,14,6,2,M1,S2,M2,L1,B,0,0.08,0
P,13,0,2,M1,S1,M1,L2,B,1,4.64,0
F,1,14,2,M1,S2,M0,L4,D,0,18.8,1
F,3,20,3,C,S2,M0,L1,B,0,1,0
F,9,14,2,M2,S2,M2,L2,D,0,12.9,1
P,12,2,2,M1,S5,M3,L2,B,1,1,0
F,1,2,2,M1,S2,M2,L2,D,2,2,0
F,9,20,2,M2,S1,M2,L2,B,0,2.34,0
F,13,0,3,H2,S2,M3,L2,D,0,0.22,0
P,2,0,2,M1,S1,M1,L2,B,1,3,0
F,4,14,2,H2,S3,M3,L2,B,0,1,0
F,6,14,2,M1,S2,M1,L4,B,0,5.91,0
F,7,4,2,M1,S1,M1,L2,B,1,7.59,0
F,7,4,2,M1,S2,M2,L1,B,0,1,0
F,12,4,2,M1,S2,M1,L2,D,2,1,0
F,3,20,2,M1,S1,M0,L1,B,0,7.34,0
P,12,2,2,H1,S1,M2,L2,D,5,1,0
F,11,0,2,M1,S1,M2,L1,D,0,5.99,0
P,6,8,3,H1,S5,M2,L2,D,0,2,0
P,1,4,2,M1,S1,M1,L2,B,1,1,0
F,1,2,2,M1,S3,M2,L4,B,0,2,0
F,3,0,2,M2,S5,M2,L1,D,1,2,0
F,10,20,2,M1,S2,M2,L2,B,0,6.61,0
P,1,8,2,C,S2,M1,L4,B,0,0.85,0
F,2,0,2,H1,S3,M2,L1,D,1,2,0
F,13,10,2,M2,S5,M2,L1,D,0,1.69,0
F,15,8,2,M1,S3,M1,L2,B,0,2,0
F,4,0,2,C,S2,M1,L2,B,0,2,0
F,2,6,3,M2,S2,M1,L3,D,0,2.4,0
F,5,6,2,M1,S3,M1,L2,D,0,18.23,1
P,9,4,2,M2,S1,M1,L2,D,0,2,0
F,1,2,2,H2,S3,M3,L2,E,3,1,0
F,3,20,1,C,S3,M1,L1,B,0,1,0
P,11,2,2,M2,S1,M2,L3,D,0,1.27,0
F,1,14,2,H1,S1,M2,L3,D,0,4,0
P,1,0,2,M1,S2,M1,L2,B,3,1,0
F,14,4,2,M1,S3,M1,L3,B,0,0.29,0
P,8,6,3,M1,S1,M1,L2,D,0,1,0
F,14,10,2,M1,S2,M1,L2,B,1,0.13,0
F,4,4,3,M2,S2,M1,L1,D,1,1,0
F,1,6,2,M1,S2,M1,L2,E,0,3.45,0
F,3,0,3,M2,S1,M2,L4,D,0,1,0
F,9,2,2,M1,S3,M1,L2,D,0,1.59,0
F,10,6,2,M1,S0,M1,L3,D,0,3.31,0
F,5,4,2,C,S2,M1,L2,B,0,3.9,0
F,3,0,2,M2,S2,M1,L3,D,0,1,0
F,4,10,2,M2,S1,M2,L2,B,1,2.59,0
F,1,10,3,H2,S1,M2,L1,D,0,1,0
F,1,14,1,M1,S1,M0,L1,B,0,1.14,0
F,3,0,2,M1,S1,M2,L1,B,2,5,0
F,5,6,2,M2,S2,M2,L2,D,1,8.58,0
F,13,2,2,M2,S1,M3,L3,D,2,1,0
F,4,8,2,M1,S1,M1,L3,B,0,4.37,0
F,7,14,2,M1,S1,M2,L2,D,1,1,0
P,1,0,2,H1,S5,M2,L2,E,4,2,0
F,12,10,2,C,S1,M0,L3,B,0,0.15,0
F,12,14,1,M1,S1,M0,L2,D,0,1,0
F,9,8,2,M1,S2,M1,L2,B,1,1.76,0
F,2,2,2,H1,S3,M2,L1,D,2,1,0
F,13,6,2,M1,S2,M2,L1,B,0,1,0
F,1,4,2,H1,S2,M3,L2,D,4,2.29,0
F,11,0,2,M2,S3,M2,L2,D,0,1,0
F,12,20,3,C,S2,M0,L1,D,0,1,0
P,1,2,2,M2,S2,M2,L1,D,0,2,0
F,11,2,2,M1,S1,M2,L3,D,0,2.77,0
P,2,2,2,H1,S2,M3,L3,D,1,0.45,0
F,4,14,1,M2,S2,M1,L2,D,0,1,0
F,4,20,2,C,S3,M2,L1,B,0,1,0
F,1,14,3,H1,S3,M2,L2,D,0,2,0
P,15,14,2,M1,S5,M1,L2,B,0,1,0
F,14,14,2,M1,S3,M0,L3,D,0,2,0
F,10,4,2,H1,S1,M2,L1,D,0,1.31,0
F,10,20,1,C,S2,M1,L2,D,0,1,0
F,7,0,2,M1,S1,M1,L3,B,1,0.7,0
F,11,2,2,H1,S2,M2,L2,D,1,2.13,0
P,1,6,3,M1,S2,M1,L2,B,0,1.81,0
P,14,20,2,M2,S5,M1,L2,B,0,0.15,0
P,14,6,2,H1,S1,M3,L2,D,0,1,0
F,4,20,3,M2,S2,M1,L1,B,0,0.5,0
F,10,0,2,M2,S1,M2,L2,B,1,1,0
F,7,10,3,M2,S1,M2,L2,B,0,1,0
F,4,6,2,M1,S1,M1,L1,B,1,1.88,0
F,11,4,2,M2,S0,M1,L2,D,1,1,0
F,9,4,2,M1,S0,M2,L2,D,0,0.59,0
F,1,2,2,H1,S2,M3,L2,B,3,2,0
F,1,2,2,H2,S1,M3,L2,D,5,1,0
P,2,0,2,M1,S3,M2,L1,B,1,2,0
F,11,20,3,M1,S5,M1,L1,D,0,1,0
F,4,4,2,M2,S1,M2,L4,D,4,1,0
P,1,0,2,M2,S2,M1,L1,B,1,1,0
F,6,2,2,M1,S1,M1,L2,B,3,1,0
F,14,6,2,H2,S1,M3,L3,D,0,2,0
F,12,14,2,M1,S1,M1,L1,D,1,0.31,0
F,4,0,2,H1,S5,M3,L1,D,0,1,0
F,3,2,2,H2,S1,M3,L1,D,1,1,0
F,1,0,2,H2,S1,M3,L3,E,3,1,0
F,8,0,2,M2,S1,M2,L3,D,5,1,0
F,2,4,2,M2,S2,M3,L2,B,0,2,0
F,10,20,3,C,S2,M0,L1,D,0,1,0
F,11,10,2,M2,S1,M2,L3,B,0,1,0
F,4,10,2,C,S2,M2,L2,D,0,1,0
F,8,10,3,M2,S2,M1,L1,D,0,1,0
F,7,20,3,M1,S1,M0,L1,D,0,1,0
P,15,2,2,H1,S5,M3,L3,D,3,1,0
F,1,14,2,M2,S1,M3,L1,D,0,2,0
P,5,0,2,M2,S1,M2,L2,D,2,1,0
F,3,6,1,H1,S1,M3,L1,B,0,1,0
F,14,6,2,H1,S1,M1,L2,D,0,0.47,0
P,13,0,2,M1,S3,M1,L2,B,1,1,0
P,14,10,2,M2,S1,M2,L4,B,1,1,0
P,4,0,2,C,S3,M0,L2,B,0,1,0
P,14,10,2,H1,S1,M2,L2,D,1,0.5,0
F,2,2,2,M2,S1,M2,L1,D,2,1,0
F,1,2,2,M1,S1,M1,L4,D,1,1,0
F,9,4,2,H1,S2,M3,L3,D,0,1,0
F,14,14,1,H1,S2,M3,L2,B,0,0.08,0
P,7,4,2,H2,S5,M3,L3,D,4,1,0
F,1,6,2,H1,S1,M3,L1,B,1,1,0
F,2,0,2,M1,S2,M2,L4,B,0,1,0
F,14,10,2,M1,S1,M3,L1,B,0,1,0
P,4,2,2,M2,S5,M1,L2,D,0,1,0
F,9,14,2,C,S1,M0,L2,D,0,0.46,0
P,4,2,3,H1,S5,M2,L3,D,0,1,0
P,1,6,2,H1,S1,M3,L2,D,1,1,0
F,1,10,2,M2,S1,M1,L2,D,0,399.19,9
F,7,10,2,M1,S1,M1,L2,D,0,258.54,8
F,1,14,3,M2,S1,M2,L1,D,0,10,0
F,4,4,2,M1,S2,M1,L3,D,0,19.17,0
F,11,14,2,M2,S2,M1,L2,D,0,21.8,1
F,6,14,2,M1,S3,M2,L2,D,0,1,0
F,1,8,2,M1,S3,M2,L2,D,0,63.59,2
P,4,4,2,C,S3,M0,L1,B,0,1,0
F,11,20,2,C,S1,M3,L1,B,0,6.36,0
F,1,10,3,M1,S3,M1,L1,D,0,17.03,0
P,2,4,2,H1,S5,M2,L2,D,0,3.49,0
F,2,10,2,C,S1,M0,L2,B,0,25.39,1
F,5,4,2,M1,S1,M2,L1,B,1,0.51,0
F,2,2,2,M2,S1,M2,L2,B,0,6.67,0
F,1,2,2,C,S2,M1,L1,B,0,32.03,0
P,1,0,2,M2,S1,M3,L1,D,1,2,0
F,10,14,2,M2,S2,M2,L1,D,0,10,0
F,1,0,3,M1,S2,M2,L1,B,0,1,0
F,1,10,2,M1,S1,M1,L1,D,1,4.61,0
F,1,2,2,H1,S1,M1,L2,D,1,3.25,0
F,8,14,2,M1,S2,M0,L2,D,0,24.42,1
F,1,4,2,H1,S1,M3,L1,D,0,4.62,0
F,5,20,2,C,S1,M1,L2,B,0,3,0
F,4,0,2,M2,S2,M2,L1,D,1,5.56,0
F,11,0,2,M1,S1,M1,L2,D,3,1,0
F,1,0,2,M2,S1,M1,L1,D,2,21.02,0
F,2,8,3,M1,S2,M2,L2,B,0,5,0
F,9,8,2,M1,S1,M1,L4,B,0,3,0
F,2,2,2,M2,S1,M2,L1,D,1,5.55,0
P,7,2,2,M1,S5,M1,L3,D,0,4,0
F,6,0,2,M1,S2,M1,L1,D,0,8.53,0
F,10,8,2,C,S1,M1,L2,B,0,6.86,0
F,7,10,2,M2,S2,M2,L2,B,1,1.32,0
F,15,20,2,M2,S1,M2,L2,D,0,1,0
F,6,8,2,C,S1,M0,L2,B,0,7.18,0
F,2,6,2,M2,S1,M1,L1,D,0,11.16,0
P,8,8,3,M1,S5,M1,L3,D,0,1,0
F,7,14,2,M2,S3,M1,L1,D,0,2,0
F,5,8,2,M2,S1,M1,L1,D,0,4.33,0
F,1,2,2,M1,S2,M1,L1,D,1,9,0
F,12,10,2,M2,S1,M1,L1,D,0,4.53,0
F,11,8,2,M1,S3,M2,L1,B,0,1,0
P,1,2,2,M1,S2,M2,L2,B,0,27.07,1
P,1,2,2,H1,S5,M3,L1,D,1,1,0
F,14,2,2,H1,S0,M2,L2,D,4,0.11,0
P,2,8,2,M1,S1,M1,L2,D,0,2,0
F,10,0,2,M2,S2,M3,L1,B,4,1,0
F,10,4,2,M1,S1,M0,L2,D,0,3.08,0
F,11,0,2,M2,S5,M1,L2,D,1,1.62,0
F,8,20,2,M1,S2,M0,L2,D,0,3,0
P,1,2,2,H1,S5,M3,L2,D,1,6,0
F,4,20,2,C,S2,M1,L2,B,0,7,0
F,11,2,2,M2,S0,M1,L3,D,0,3.52,0
F,14,10,1,M1,S2,M1,L2,D,0,1,0
F,14,2,2,M2,S0,M1,L4,D,0,0.16,0
F,1,0,2,H1,S1,M3,L3,D,4,0.89,0
F,14,10,2,M2,S0,M2,L3,D,0,0.8,0
P,5,10,3,M2,S5,M2,L2,D,0,2,0
F,15,20,2,C,S0,M0,L2,D,0,1,0
F,8,10,2,C,S2,M1,L1,D,0,2,0
F,9,6,2,C,S3,M0,L1,B,1,1,0
F,14,6,2,H2,S1,M3,L3,D,3,1.43,0
P,1,0,2,C,S2,M0,L2,B,0,2,0
F,6,6,2,M1,S3,M2,L1,D,0,1,0
F,7,6,2,M2,S1,M3,L2,B,1,1,0
F,6,2,2,H1,S1,M3,L2,D,1,4,0
P,15,0,2,M1,S5,M1,L2,B,0,0.28,0
P,1,0,2,H2,S5,M3,L1,D,4,8.19,0
F,6,6,2,H1,S2,M3,L2,D,1,1,0
F,4,8,3,H1,S1,M2,L2,D,0,1,0
F,15,10,2,C,S2,M1,L3,B,0,1,0
P,8,2,2,M2,S1,M2,L2,D,3,0.3,0
F,15,10,2,C,S1,M1,L2,B,0,3,0
F,1,4,2,H2,S2,M2,L2,D,0,3.66,0
F,3,6,3,M1,S5,M1,L3,D,0,0.47,0
F,2,4,2,H1,S1,M2,L2,E,0,1,0
F,2,10,3,M1,S3,M2,L2,D,0,1,0
F,4,20,2,M1,S1,M0,L1,D,0,1.2,0
F,8,10,3,M1,S2,M1,L3,D,0,1,0
F,4,0,2,H2,S2,M3,L2,D,4,1,0
F,4,0,2,C,S1,M1,L1,B,0,1,0
F,1,2,2,M2,S1,M3,L2,B,4,1,0
F,1,14,2,H2,S2,M3,L4,D,1,1,0
F,13,14,2,C,S3,M1,L1,B,0,5,0
F,2,10,2,H2,S1,M3,L1,B,1,1.18,0
P,3,2,2,M1,S2,M1,L2,B,1,2,0
F,14,14,3,M1,S2,M2,L1,B,0,0.95,0
P,12,8,2,M1,S5,M1,L1,B,0,1,0
F,1,10,1,M1,S3,M1,L2,B,0,1,0
F,4,6,3,M2,S2,M1,L3,D,0,1,0
P,14,10,2,M1,S5,M1,L1,B,1,0.16,0
F,9,10,2,M2,S1,M1,L2,B,0,1,0
F,13,4,3,M2,S5,M2,L2,D,0,1,0
F,5,8,2,H2,S2,M3,L1,B,1,1,0
F,12,0,2,M1,S0,M1,L3,D,0,1,0
F,5,14,2,H1,S1,M3,L2,D,1,0.9,0
F,3,2,2,C,S3,M0,L1,B,0,0.21,0
F,2,2,2,M1,S2,M0,L3,D,0,0.92,0
F,1,4,3,H2,S2,M3,L2,D,0,2,0
F,6,20,2,M1,S3,M1,L3,B,0,0.11,0
F,2,0,2,M1,S2,M2,L1,B,3,3,0
F,2,4,2,M2,S5,M1,L3,D,0,1,0
F,6,2,2,M1,S1,M2,L3,D,2,1,0
P,4,8,2,H1,S5,M3,L2,D,1,1,0
F,10,10,2,M1,S0,M2,L1,B,0,1,0
F,6,8,2,M2,S1,M1,L3,B,1,1,0
F,11,20,1,C,S1,M0,L1,B,0,1,0
F,7,2,2,M2,S1,M1,L2,B,0,1,0
F,10,8,2,M2,S1,M1,L3,D,0,5.4,0
P,1,10,2,C,S3,M1,L2,B,0,0.49,0
P,2,4,2,M1,S2,M1,L2,B,1,1,0
F,2,2,3,H1,S3,M2,L3,D,2,1,0
P,15,10,2,M2,S1,M2,L1,D,0,0.6,0
F,10,14,2,M1,S3,M1,L4,B,0,3,0
F,3,2,2,H1,S1,M3,L2,B,0,1,0
F,1,10,2,M1,S5,M2,L1,D,0,1,0
F,2,8,2,M1,S1,M3,L2,B,0,1.67,0
F,8,4,2,M1,S1,M1,L4,D,0,4.32,0
P,1,14,2,M1,S3,M2,L2,B,0,2,0
P,4,0,2,M2,S3,M2,L1,B,0,2,0
F,1,14,3,H1,S1,M1,L1,D,0,0.36,0
F,13,6,3,M1,S1,M1,L2,B,0,0.25,0
F,2,0,2,H1,S1,M3,L2,D,1,1,0
P,2,2,2,M2,S1,M2,L2,D,1,1,0
F,3,14,2,M2,S2,M2,L2,B,1,1.66,0
F,5,4,2,H1,S1,M2,L4,D,0,1,0
F,7,14,2,C,S1,M1,L3,B,0,1,0
F,10,4,2,H1,S0,M2,L3,D,0,0.72,0
F,3,0,2,M2,S2,M1,L2,B,1,2,0
F,6,8,3,M1,S2,M1,L2,D,0,2,0
F,2,14,2,M1,S2,M1,L1,D,1,1,0
P,7,0,2,M1,S1,M1,L1,D,1,1,0
F,4,8,2,M2,S1,M2,L2,B,1,1,0
F,1,4,2,M2,S1,M3,L1,B,1,1,0
F,7,4,2,M1,S0,M1,L2,D,1,1,0
P,11,2,2,H2,S5,M3,L2,D,1,1,0
P,2,4,2,M1,S5,M1,L1,B,0,1,0
F,3,4,2,M1,S2,M1,L2,D,2,1,0
F,10,14,2,M2,S1,M1,L2,B,1,0.61,0
P,1,6,2,M2,S1,M2,L1,D,0,1,0
P,13,0,2,C,S2,M0,L2,B,0,1,0
F,11,4,2,H1,S2,M3,L2,D,0,1,0
F,2,10,2,M2,S3,M1,L3,D,1,1,0
F,1,20,3,M1,S1,M1,L2,B,0,0.78,0
P,1,14,2,M1,S3,M0,L1,D,0,1,0
F,1,2,3,M1,S2,M1,L1,D,0,1,0
P,1,4,2,H1,S2,M2,L3,D,0,1,0
F,8,10,2,M2,S3,M2,L3,D,2,0.65,0
F,4,4,3,M2,S2,M2,L1,D,0,1,0
F,12,14,2,M1,S0,M1,L2,B,0,98.27,7
F,5,20,2,M1,S1,M1,L1,D,0,5,0
F,2,2,2,M1,S3,M1,L2,B,0,88.8,3
F,2,2,2,H1,S3,M2,L1,D,0,1,0
F,11,14,2,M1,S2,M1,L2,B,0,215.8,8
P,1,8,2,M1,S5,M1,L2,B,0,22.24,1
F,14,4,2,M1,S1,M1,L1,B,0,9.13,0
F,4,4,2,M2,S2,M2,L2,D,0,40.24,1
F,9,14,3,M1,S1,M2,L2,D,0,0.43,0
F,1,2,2,M1,S1,M1,L3,D,0,99.27,3
F,5,14,2,C,S2,M0,L1,B,0,83.87,2
F,3,14,2,M1,S3,M1,L2,D,0,58.4,3
F,4,14,3,M1,S1,M2,L4,D,0,1,0
F,7,2,2,M1,S3,M2,L1,B,0,1,0
F,5,8,3,M2,S1,M2,L2,D,0,9.69,0
F,11,2,2,H1,S1,M2,L3,D,0,2.17,0
F,3,8,2,M1,S3,M0,L1,B,0,6,0
F,6,20,2,C,S3,M0,L1,D,0,6,0
F,13,10,2,M2,S0,M2,L3,D,1,1,0
F,4,8,3,M1,S2,M1,L2,B,0,2,0
P,1,0,2,M2,S1,M2,L2,D,3,2,0
F,11,4,2,M1,S2,M2,L2,B,0,6.81,0
F,2,6,3,M2,S2,M2,L2,D,0,12.73,0
F,8,8,3,M2,S1,M1,L2,D,0,5.68,0
F,3,14,2,M1,S3,M1,L3,D,0,6,0
F,1,0,2,H1,S1,M2,L1,D,1,7.7,0
F,12,2,2,M1,S3,M1,L1,B,0,11.24,1
F,14,10,2,M2,S0,M3,L2,D,0,2.33,0
F,7,10,2,M1,S1,M1,L1,D,0,64.59,2
F,2,2,2,H1,S2,M2,L2,D,1,10.44,0
F,3,14,2,C,S3,M0,L2,B,0,37.13,1
F,1,10,2,H2,S1,M3,L1,D,0,6.23,0
F,1,14,2,M1,S3,M0,L4,D,0,6.5,0
P,1,0,2,M2,S1,M1,L1,D,2,7,0
F,1,2,2,M1,S2,M1,L3,B,2,6,0
F,5,6,2,M1,S1,M1,L1,D,0,27.52,1
F,5,4,2,M2,S3,M1,L3,D,1,1,0
F,14,14,2,M1,S1,M3,L2,B,0,0.63,0
F,14,4,2,C,S2,M1,L1,B,0,1.15,0
F,1,10,2,H2,S2,M3,L3,D,0,5.2,0
F,14,4,2,M1,S3,M1,L2,B,0,3.79,0
F,3,6,2,H2,S2,M3,L1,D,2,1,0
F,8,6,2,H1,S1,M2,L1,D,2,2,0
F,3,6,2,M2,S2,M2,L1,D,0,16.01,0
F,10,14,2,H1,S1,M2,L2,D,0,10.05,0
F,11,2,2,M1,S1,M2,L2,B,0,8.72,0
F,8,0,2,M1,S1,M1,L4,B,0,2,0
F,3,14,2,M1,S2,M2,L1,B,0,12.58,0
F,14,8,2,M1,S1,M1,L1,D,0,9.72,0
P,1,2,2,M1,S3,M1,L1,B,1,4,0
F,6,2,2,M1,S1,M1,L3,D,0,16.86,1
P,1,0,2,M2,S5,M2,L1,D,0,4,0
F,1,14,3,M1,S2,M0,L2,D,0,1,0
P,3,2,2,M2,S1,M2,L3,D,0,1.64,0
F,10,2,2,M2,S1,M1,L3,D,2,0.28,0
F,3,2,2,M2,S5,M2,L3,D,3,1,0
F,1,10,2,M2,S1,M1,L2,E,0,2.22,0
F,1,10,2,H2,S1,M3,L1,D,1,8.31,0
F,3,14,2,M2,S1,M1,L1,D,0,8.92,0
F,13,0,2,M1,S3,M1,L1,B,0,11,0
F,3,8,2,H1,S3,M2,L2,D,3,1,0
F,14,2,2,H1,S1,M2,L1,D,4,1,0
F,8,10,2,M1,S1,M2,L1,D,0,5.29,0
F,12,2,2,M2,S2,M2,L4,D,1,0.66,0
F,11,8,2,M2,S3,M1,L1,D,0,1.55,0
F,11,4,2,M1,S3,M1,L1,B,0,7.62,0
F,9,10,2,M1,S0,M2,L2,B,0,3,0
F,12,0,2,H2,S1,M3,L2,D,3,0.49,0
P,8,2,2,M1,S1,M1,L1,D,0,1,0
F,7,6,2,M1,S2,M2,L1,D,0,2,0
F,1,10,2,H1,S2,M1,L2,D,0,9.77,0
P,10,8,2,M2,S5,M2,L2,D,0,4,0
F,12,0,2,M1,S5,M1,L1,B,0,1,0
F,2,2,2,M1,S3,M2,L2,B,1,3,0
P,5,0,2,M1,S5,M2,L1,D,1,1,0
F,14,4,3,M2,S2,M2,L3,D,0,0.61,0
F,11,20,2,M1,S3,M1,L2,D,0,1,0
F,3,6,2,M2,S2,M1,L1,D,1,1.78,0
F,1,8,2,H2,S2,M2,L2,B,1,1,0
F,6,6,2,C,S2,M1,L2,B,0,3,0
F,15,2,2,M1,S1,M1,L1,B,0,2,0
F,5,20,2,M1,S3,M1,L2,D,0,2.38,0
F,8,4,2,M1,S2,M1,L4,B,0,0.22,0
F,6,4,2,M2,S2,M2,L2,D,1,2.57,0
F,3,4,2,H2,S1,M3,L2,D,2,2.85,0
F,2,4,2,M2,S3,M1,L1,D,1,0.99,0
F,2,14,2,M2,S3,M2,L2,B,0,6,0
F,5,10,1,H2,S2,M3,L2,B,0,0.22,0
P,1,14,2,M1,S5,M2,L1,D,0,0.81,0
F,1,0,3,H1,S1,M3,L2,D,5,1,0
F,5,14,2,M1,S2,M2,L2,B,0,7.65,0
F,1,4,2,H1,S3,M2,L2,D,3,2.82,0
F,1,14,2,M2,S2,M3,L2,D,0,2.78,0
F,10,0,2,M2,S1,M2,L1,D,0,1,0
F,6,4,2,H2,S2,M3,L3,D,1,1.99,0
F,11,14,2,M1,S0,M1,L4,D,0,2,0
F,10,2,2,H1,S0,M2,L2,D,0,1,0
P,2,0,2,H1,S2,M3,L1,D,2,1,0
P,1,2,2,M2,S2,M2,L4,D,1,1,0
F,2,4,2,M2,S3,M1,L2,D,1,5,0
F,11,6,2,M2,S3,M2,L1,B,0,1.15,0
F,4,8,2,H1,S2,M3,L2,B,0,2.38,0
F,1,2,3,M2,S2,M2,L3,B,2,1,0
P,4,0,2,H1,S5,M2,L2,D,3,1,0
F,15,6,2,M1,S0,M1,L2,B,0,2,0
P,5,10,3,H1,S5,M2,L1,D,0,1,0
F,1,6,2,H1,S0,M2,L2,D,1,1,0
F,1,14,2,H1,S3,M2,L3,D,0,3,0
F,9,2,2,M1,S2,M1,L3,B,0,1,0
P,11,2,2,M1,S5,M1,L1,B,0,1,0
P,7,6,3,M2,S5,M2,L2,D,0,3,0
P,1,2,2,M2,S5,M2,L3,D,4,0.74,0
F,6,0,2,M1,S3,M2,L2,B,0,1,0
F,4,2,2,M2,S1,M1,L1,D,3,0.47,0
F,1,6,2,H1,S1,M1,L3,D,0,1,0
P,1,0,2,H2,S5,M3,L3,D,4,1,0
P,13,0,2,M1,S5,M1,L2,D,2,3,0
F,13,14,3,M2,S3,M1,L2,D,0,1,0
F,12,8,1,M1,S1,M1,L1,B,0,0.64,0
F,9,14,2,M2,S0,M3,L2,B,0,1,0
F,5,14,2,M2,S2,M2,L2,B,1,0.54,0
F,8,20,3,M2,S1,M1,L1,D,0,1,0
F,2,2,2,H1,S2,M3,L1,B,2,1,0
F,3,4,2,H1,S3,M2,L3,D,1,0.72,0
F,8,8,2,H2,S3,M3,L2,D,0,1,0
F,12,20,2,C,S2,M3,L1,B,0,4,0
F,5,2,3,H1,S1,M1,L2,D,0,1,0
F,3,2,2,M1,S1,M1,L4,D,0,1.47,0
F,2,2,2,H2,S3,M3,L1,D,2,1,0
F,13,20,2,M2,S3,M2,L2,B,0,1,0
F,2,8,3,M1,S3,M1,L1,B,0,2,0
P,14,2,2,M2,S5,M3,L3,D,0,0.8,0
P,14,0,2,H1,S5,M3,L1,D,0,0.82,0
F,10,0,2,M2,S0,M3,L2,D,1,1,0
F,6,0,2,M1,S3,M1,L2,B,2,1,0
F,1,0,3,M2,S5,M2,L2,D,2,0.55,0
F,1,4,2,H1,S1,M1,L3,D,0,0.1,0
F,14,20,2,C,S1,M1,L3,B,0,1,0
F,13,10,2,M2,S1,M3,L1,B,0,1,0
P,1,4,2,H2,S2,M3,L3,D,2,0.17,0
F,3,14,2,H2,S2,M3,L1,D,1,1,0
F,14,8,2,M2,S3,M2,L4,D,0,1,0
P,7,6,2,M1,S5,M1,L2,B,1,1,0
F,1,10,2,M1,S1,M1,L2,B,2,0.09,0
F,14,14,1,M1,S0,M2,L2,B,0,0.08,0
F,12,4,2,M1,S3,M2,L4,B,0,1,0
P,3,0,2,M2,S5,M3,L1,D,0,0.26,0
F,4,2,2,M1,S2,M2,L3,B,0,1,0
P,1,2,2,H1,S5,M3,L3,D,4,1,0
P,14,2,2,M1,S5,M2,L3,D,0,1,0
P,12,6,2,M1,S5,M1,L3,B,0,1,0
P,6,10,2,H2,S5,M3,L3,D,0,1,0
F,10,0,2,M1,S1,M1,L4,B,2,1,0
P,4,2,2,M1,S2,M1,L3,D,1,1,0
F,3,10,2,H1,S3,M2,L1,D,0,1,0
F,6,14,3,M2,S2,M2,L2,B,0,1,0
F,5,0,2,H2,S1,M3,L2,D,2,0.35,0
F,6,6,3,M1,S1,M1,L1,D,0,1,0
F,14,6,2,M2,S1,M1,L1,D,1,1,0
F,10,8,2,H1,S1,M3,L1,D,2,1,0
F,1,6,2,H2,S2,M3,L3,B,0,1,0
F,1,2,2,M2,S3,M2,L1,D,3,6.89,0
F,1,10,3,M1,S3,M1,L1,B,0,8.26,0
F,5,0,2,H2,S1,M3,L2,D,3,2,0
F,1,4,2,H1,S2,M2,L2,D,3,13,0
P,14,10,3,M1,S1,M1,L2,B,0,0.74,0
P,2,4,2,M2,S1,M2,L2,D,0,3.72,0
F,1,10,2,H1,S1,M2,L2,D,1,40.98,1
F,1,6,2,M2,S3,M2,L2,B,0,31.91,1
F,1,14,2,M1,S3,M1,L3,B,0,35.4,1
F,2,14,2,M2,S2,M2,L2,D,0,81.99,3
F,5,10,3,H1,S2,M2,L2,D,0,3.77,0
F,6,10,2,M2,S2,M2,L3,D,0,5.18,0
F,11,20,2,M2,S0,M2,L2,D,0,0.76,0
F,7,0,2,H1,S1,M3,L1,B,0,1,0
F,14,4,2,H1,S1,M2,L3,D,0,2.83,0
F,3,10,2,M2,S3,M2,L1,D,0,27.58,1
P,13,2,2,M2,S5,M2,L3,D,0,0.23,0
F,12,10,2,M2,S1,M2,L1,D,0,10.95,0
P,1,4,3,H1,S5,M2,L2,D,0,6.8,0
F,13,14,2,M2,S0,M2,L3,D,0,1.2,0
F,10,8,2,M2,S0,M3,L2,D,1,0.35,0
F,4,2,2,M1,S1,M1,L2,B,3,1,0
F,7,6,2,M1,S1,M2,L1,B,0,9,0
F,6,8,2,M1,S3,M1,L2,D,0,15.1,1
F,1,6,2,H1,S2,M2,L2,B,1,4,0
P,6,10,3,M2,S5,M2,L4,D,0,1,0
F,1,10,3,M1,S2,M0,L2,D,0,2,0
F,3,2,2,H1,S2,M2,L3,D,0,5.1,0
F,8,20,2,H1,S2,M3,L1,B,0,1,0
F,1,10,2,M1,S3,M0,L3,D,0,5,0
F,9,10,2,M2,S1,M1,L1,B,0,0.53,0
F,5,2,2,M2,S1,M2,L2,D,0,13.58,0
F,9,14,2,H1,S1,M3,L2,D,0,5.83,0
F,9,10,2,M2,S1,M2,L4,D,0,1,0
F,9,14,2,M2,S1,M3,L2,D,0,3.55,0
P,4,0,2,M1,S5,M1,L2,D,0,2,0
F,7,2,2,M1,S1,M1,L2,B,2,4,0
